Timestamp,Engagement Index
2023-12-06 16:06:17,100
2023-12-06 16:06:32,100
2023-12-06 16:06:48,100
2023-12-06 16:07:03,100
2023-12-06 16:07:18,100
2023-12-06 16:07:33,100
2023-12-06 16:07:48,100
2023-12-06 16:08:03,100
2023-12-06 16:08:18,100
2023-12-06 16:08:33,100
2023-12-06 16:08:48,100
2023-12-06 16:09:03,100
2023-12-06 16:09:18,100
2023-12-06 16:09:33,100
2023-12-06 16:09:48,100
2023-12-06 16:10:03,100
2023-12-06 16:10:18,100
2023-12-06 16:10:34,100
2023-12-06 16:10:49,100
2023-12-06 16:11:04,100
2023-12-06 16:11:19,100
2023-12-06 16:11:34,100
2023-12-06 16:11:49,100
2023-12-06 16:12:04,100
2023-12-06 16:12:19,100
2023-12-06 16:12:34,100
2023-12-06 16:12:49,100
2023-12-06 16:13:04,100
2023-12-06 16:13:19,100
2023-12-06 16:13:34,100
2023-12-06 16:13:49,100
2023-12-06 16:14:04,100
2023-12-06 16:14:19,100
2023-12-06 16:14:35,100
2023-12-06 16:14:50,100
2023-12-06 16:15:05,100
